DWD classification (ftp structure),,,,,temporal,attribute group,attribute,attribute-comment,aggregation,spatial-aggregation,spatial,unit,temporal-start,temporal-end,prediction,format,compressed,machine-readable,url,url-comment,recent & historical,now,comment
climate_environment,cdc,regional_averages_DE,,,annual,temperature air,air temperature,,mean,areal-mean,"Bundesländer, Deutschland",°C,1881,2019,,csv,,FALSE,https://opendata.dwd.de/climate_environment/CDC/regional_averages_DE/annual/air_temperature_mean/regional_averages_tm_year.txt,,,,
climate_environment,cdc,regional_averages_DE,,,annual,days - frost,frost days,,count,areal-mean,"Bundesländer, Deutschland",days,1951,2019,,csv,,FALSE,https://opendata.dwd.de/climate_environment/CDC/regional_averages_DE/annual/frost_days/regional_averages_tnas_year.txt,,,,
climate_environment,cdc,regional_averages_DE,,,annual,days - hot,hot days,,count,areal-mean,"Bundesländer, Deutschland",days,1951,2019,,csv,,FALSE,https://opendata.dwd.de/climate_environment/CDC/regional_averages_DE/annual/hot_days/regional_averages_txbs_year.txt,,,,
climate_environment,cdc,regional_averages_DE,,,annual,days - ice,ice days,,count,areal-mean,"Bundesländer, Deutschland",days,1951,2019,,csv,,FALSE,https://opendata.dwd.de/climate_environment/CDC/regional_averages_DE/annual/ice_days/regional_averages_txcs_year.txt,,,,
climate_environment,cdc,regional_averages_DE,,,annual,precipitation,precipitation - 10mm - days,,count,areal-mean,"Bundesländer, Deutschland",days,1951,2019,,csv,,FALSE,https://opendata.dwd.de/climate_environment/CDC/regional_averages_DE/annual/precipGE10mm_days/regional_averages_rrsfs_year.txt,,,,
climate_environment,cdc,regional_averages_DE,,,annual,precipitation,precipitation - 20mm - days,,count,areal-mean,"Bundesländer, Deutschland",days,1951,2019,,csv,,FALSE,https://opendata.dwd.de/climate_environment/CDC/regional_averages_DE/annual/precipGE20mm_days/regional_averages_rrsgs_year.txt,,,,
climate_environment,cdc,regional_averages_DE,,,annual,precipitation,precipitation,,sum,areal-mean,"Bundesländer, Deutschland",mm,1881,2019,,csv,,FALSE,https://opendata.dwd.de/climate_environment/CDC/regional_averages_DE/annual/precipitation/regional_averages_rr_year.txt,,,,
climate_environment,cdc,regional_averages_DE,,,annual,days - summer,summer days,,count,areal-mean,"Bundesländer, Deutschland",days,1951,2019,,csv,,FALSE,https://opendata.dwd.de/climate_environment/CDC/regional_averages_DE/annual/summer_days/regional_averages_txas_year.txt,,,,
climate_environment,cdc,regional_averages_DE,,,annual,sunshine,sunshine duration,,sum,areal-mean,"Bundesländer, Deutschland",hours,1951,2019,,csv,,FALSE,https://opendata.dwd.de/climate_environment/CDC/regional_averages_DE/annual/sunshine_duration/regional_averages_sd_year.txt,,,,
climate_environment,cdc,regional_averages_DE,,,monthly,temperature air,air temperature,,mean,areal-mean,"Bundesländer, Deutschland",°C,1881,2020,,csv,,FALSE,https://opendata.dwd.de/climate_environment/CDC/regional_averages_DE/monthly/air_temperature_mean/regional_averages_tm_01.txt,two-digit month at the end,,,
climate_environment,cdc,regional_averages_DE,,,monthly,precipitation,precipitation,,sum,areal-mean,"Bundesländer, Deutschland",mm,1881,2020,,csv,,FALSE,https://opendata.dwd.de/climate_environment/CDC/regional_averages_DE/monthly/precipitation/regional_averages_rr_01.txt,two-digit month at the end,,,
climate_environment,cdc,regional_averages_DE,,,monthly,sunshine,sunshine duration,,sum,areal-mean,"Bundesländer, Deutschland",hours,1951,2020,,csv,,FALSE,https://opendata.dwd.de/climate_environment/CDC/regional_averages_DE/monthly/sunshine_duration/regional_averages_sd_01.txt,two-digit month at the end,,,
climate_environment,cdc,regional_averages_DE,,,seasonal,temperature air,air temperature,,mean,areal-mean,"Bundesländer, Deutschland",°C,1881,2020,,csv,,FALSE,https://opendata.dwd.de/climate_environment/CDC/regional_averages_DE/seasonal/air_temperature_mean/regional_averages_tm_autumn.txt,"autumn, spring, summer, winter at the end",,,
climate_environment,cdc,regional_averages_DE,,,seasonal,precipitation,precipitation,,sum,areal-mean,"Bundesländer, Deutschland",mm,1881,2020,,csv,,FALSE,https://opendata.dwd.de/climate_environment/CDC/regional_averages_DE/seasonal/precipitation/regional_averages_rr_autumn.txt,"autumn, spring, summer, winter at the end",,,
climate_environment,cdc,regional_averages_DE,,,seasonal,sunshine,sunshine duration,,sum,areal-mean,"Bundesländer, Deutschland",hours,1951,2020,,csv,,FALSE,https://opendata.dwd.de/climate_environment/CDC/regional_averages_DE/seasonal/sunshine_duration/regional_averages_sd_autumn.txt,"autumn, spring, summer, winter at the end",,,
climate_environment,cdc,observations_global,CLIMAT,qc,monthly,temperature air,air temperature,,absolute max,,Station,°C,1961,2020,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_global/CLIMAT/monthly/qc/air_temperature_absolute_max/recent/01001_201401_201812.txt,STATIONID_STARTDATE_ENDDATE.txt,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/help/stations_list_CLIMAT_data.txt"
